Player,Player_ID,SEASON_ID,League_id,Team_id,Team_Abbreviation,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION
NaLyssa Smith,1631019.0,2022-23,10,1611661325.0,IND,22.0,32,32,983.0,160,382,0.419,37,97,0.381,76,123,0.618,70,183,253,45,15,8,76,93,433,,,,
NaLyssa Smith,1631019.0,2023-24,10,1611661325.0,IND,23.0,31,28,885.0,188,394,0.477,19,67,0.284,84,124,0.677,64,221,285,44,10,10,84,93,479,,,,
NaLyssa Smith,1631019.0,2024-25,10,1611661325.0,IND,24.0,40,37,990.0,168,350,0.48,14,48,0.292,72,127,0.567,72,213,285,41,30,39,52,107,422,,,,
Stephanie Soares,1641654.0,2024-25,10,1611661321.0,DAL,24.0,22,3,175.0,10,34,0.294,2,12,0.167,2,2,1.0,18,29,47,10,2,8,12,18,24,,,,
Taylor Soule,1641667.0,2023-24,10,1611661329.0,CHI,24.0,15,0,53.0,2,14,0.143,0,3,0.0,5,8,0.625,3,5,8,3,0,1,4,6,9,,,,
Taylor Soule,1641667.0,2024-25,10,1611661324.0,MIN,25.0,2,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,,,,
Azurá Stevens,1628922.0,2018-19,10,1611661321.0,DAL,23.0,34,9,700.0,111,258,0.43,28,88,0.318,52,66,0.788,59,96,155,44,31,39,51,70,302,,,,
Azurá Stevens,1628922.0,2019-20,10,1611661321.0,DAL,24.0,9,1,144.0,19,53,0.358,1,9,0.111,4,5,0.8,15,17,32,5,5,10,9,12,43,,,,
Azurá Stevens,1628922.0,2020-21,10,1611661329.0,CHI,25.0,13,13,355.0,59,118,0.5,15,39,0.385,17,20,0.85,18,59,77,20,12,24,20,39,150,,,,
Azurá Stevens,1628922.0,2021-22,10,1611661329.0,CHI,26.0,30,11,587.0,90,180,0.5,15,45,0.333,26,32,0.813,49,88,137,23,24,21,28,54,221,,,,
Azurá Stevens,1628922.0,2022-23,10,1611661329.0,CHI,27.0,35,8,768.0,150,318,0.472,42,116,0.362,29,39,0.744,21,116,137,28,17,39,26,61,371,,,,
Azurá Stevens,1628922.0,2023-24,10,1611661320.0,LAS,28.0,35,29,910.0,149,369,0.404,35,109,0.321,46,61,0.754,54,153,207,40,41,32,52,90,379,,,,
Azurá Stevens,1628922.0,2024-25,10,1611661320.0,LAS,29.0,20,19,493.0,71,178,0.399,28,80,0.35,22,27,0.815,20,120,140,38,17,18,36,39,192,,,,
Breanna Stewart,1627668.0,2016-17,10,1611661328.0,SEA,22.0,34,34,1179.0,208,455,0.457,45,133,0.338,160,192,0.833,40,277,317,114,42,64,81,82,621,,,,
Breanna Stewart,1627668.0,2017-18,10,1611661328.0,SEA,23.0,33,33,1086.0,222,467,0.475,49,132,0.371,163,207,0.787,49,238,287,90,38,53,80,107,656,,,,
Breanna Stewart,1627668.0,2018-19,10,1611661328.0,SEA,24.0,34,34,1074.0,270,510,0.529,61,147,0.415,141,172,0.82,38,246,284,86,46,49,61,69,742,,,,
Breanna Stewart,1627668.0,2020-21,10,1611661328.0,SEA,26.0,20,20,607.0,133,295,0.451,35,95,0.368,93,104,0.894,20,145,165,72,33,26,50,45,394,,,,
